,word,ort,pho,wf,gr1,gr2,gr3,gr4,gr5,gr6,gr7,gr8,gr9,gr10,gr11,gr12,gr13,gr14,img,wn_idx
57,ask,___a_sk___,___@sk____,3500.0,339.0,309.0,266.0,242.0,213.0,186.0,177.0,166.0,166.0,155.0,145.0,137.0,81.0,3419.0,2.7,59
58,asked,___a_sked_,___@skt___,10178.0,2583.0,1681.0,1197.0,949.0,567.0,434.0,396.0,356.0,316.0,251.0,222.0,187.0,111.0,11389.0,4.198262682418339,60
59,asks,___a_sks__,___@sks___,1711.0,76.0,53.0,27.0,23.0,19.0,18.0,19.0,20.0,17.0,16.0,15.0,15.0,11.0,487.0,4.198262682418339,61
60,asp,___a_sp___,___@sp____,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.198262682418339,62
61,asps,___a_sps__,___@sps___,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198262682418339,63
62,ass,___a_ss___,___@s_____,27.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,47.0,6.0,64
63,at,___a_t____,___@t_____,241045.0,5635.0,5090.0,5491.0,5317.0,5236.0,5080.0,5005.0,4913.0,4820.0,4620.0,4510.0,4240.0,3367.0,82587.0,1.4,65
64,ate,___a_te___,___et_____,156.0,207.0,168.0,139.0,128.0,95.0,78.0,69.0,58.0,53.0,37.0,32.0,19.0,9.0,1454.0,3.9,66
65,aught,___aught__,___at_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.198262682418339,67
66,aunt,___aunt___,___ant____,112.0,147.0,179.0,144.0,121.0,80.0,71.0,62.0,61.0,53.0,43.0,35.0,21.0,1.0,1773.0,6.2,68
67,aunts,___aunts__,___ants___,9.0,1.0,3.0,8.0,6.0,8.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,0.0,116.0,4.198262682418339,69
68,awe,___awe____,___a______,67.0,0.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,115.0,2.3,70
69,awes,___awes___,___az_____,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.198262682418339,71
70,awl,___awl____,___al_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.198262682418339,72
71,awls,___awls___,___alz____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.198262682418339,73
72,awn,___awn____,___an_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198262682418339,74
73,ax,___a_x____,___@ks____,106.0,11.0,11.0,14.0,12.0,11.0,8.0,8.0,11.0,9.0,8.0,6.0,4.0,1.0,192.0,6.2,76
74,axe,___a_xe___,___@ks____,17.0,0.0,3.0,8.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,80.0,6.3,77
75,aye,___aye____,___A______,4.0,2.0,7.0,8.0,8.0,5.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,103.0,1.7,78
76,babe,__ba_be___,__beb_____,38.0,6.0,16.0,11.0,7.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,167.0,5.7,79
77,babes,__ba_bes__,__bebz____,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.198262682418339,80
78,back,__ba_ck___,__b@k_____,23300.0,2096.0,1959.0,1784.0,1659.0,1425.0,1257.0,1161.0,1079.0,986.0,823.0,748.0,614.0,282.0,20173.0,5.0,81
79,bad,__ba_d____,__b@d_____,5766.0,421.0,301.0,236.0,216.0,169.0,159.0,154.0,148.0,143.0,136.0,128.0,106.0,76.0,3154.0,2.4,82
80,badge,__ba_dge__,__b@J_____,78.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,54.0,5.9,83
81,bag,__ba_g____,__b@g_____,628.0,252.0,170.0,124.0,123.0,72.0,61.0,48.0,42.0,44.0,33.0,28.0,21.0,7.0,1342.0,6.4,84
82,bags,__ba_gs___,__b@gz____,725.0,49.0,52.0,41.0,32.0,28.0,23.0,19.0,21.0,21.0,16.0,15.0,13.0,4.0,464.0,4.198262682418339,85
83,bail,__bail____,__bel_____,516.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,36.0,3.9,86
84,bails,__bails___,__belz____,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.198262682418339,87
85,bait,__bait____,__bet_____,187.0,8.0,6.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,5.0,4.0,2.0,2.0,154.0,5.6,88
86,baits,__baits___,__bets____,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.198262682418339,89
87,bake,__ba_ke___,__bek_____,34.0,52.0,12.0,7.0,6.0,7.0,8.0,6.0,6.0,3.0,3.0,2.0,0.0,0.0,141.0,5.1,91
88,baked,__ba_ked__,__bekt____,162.0,14.0,12.0,12.0,12.0,16.0,15.0,15.0,14.0,13.0,11.0,10.0,7.0,1.0,290.0,4.198262682418339,92
89,bakes,__ba_kes__,__beks____,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.198262682418339,93
90,bald,__ba_ld___,__bald____,103.0,18.0,5.0,6.0,4.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,5.0,1.0,166.0,6.2,94
91,bale,__ba_le___,__bel_____,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.4,95
92,bales,__ba_les__,__belz____,252.0,0.0,0.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,61.0,4.198262682418339,96
93,balk,__ba_lk___,__balk____,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.8,97
94,balked,__ba_lked_,__balkt___,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.198262682418339,98
95,balks,__ba_lks__,__balks___,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.198262682418339,99
96,ball,__ba_ll___,__bal_____,1393.0,587.0,304.0,248.0,212.0,180.0,161.0,156.0,139.0,139.0,107.0,95.0,75.0,30.0,3039.0,6.6,100
97,balls,__ba_lls__,__balz____,196.0,23.0,21.0,22.0,22.0,21.0,16.0,14.0,12.0,14.0,14.0,14.0,16.0,12.0,377.0,4.198262682418339,101
98,balm,__ba_lm___,__bam_____,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.3,102
99,balms,__ba_lms__,__bamz____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198262682418339,103
100,ban,__ba_n____,__b@n_____,2298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,60.0,2.9,104
101,band,__ba_nd___,__b@nd____,900.0,61.0,47.0,39.0,40.0,50.0,58.0,56.0,56.0,59.0,58.0,60.0,54.0,25.0,973.0,6.0,105
102,bands,__ba_nds__,__b@ndz___,163.0,6.0,8.0,11.0,12.0,19.0,20.0,22.0,19.0,19.0,19.0,19.0,23.0,19.0,373.0,4.198262682418339,106
103,bane,__ba_ne___,__ben_____,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.1,107
104,banes,__ba_nes__,__benz____,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198262682418339,108
105,bang,__ba_ng___,__b@ng____,346.0,64.0,22.0,16.0,11.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,2.0,232.0,3.7,109
106,banged,__ba_nged_,__b@ngd___,17.0,13.0,13.0,8.0,7.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,0.0,115.0,4.198262682418339,110
107,bangs,__ba_ngs__,__b@ngz___,20.0,0.0,5.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,4.198262682418339,111
108,bank,__ba_nk___,__b@nk____,53170.0,55.0,87.0,66.0,65.0,64.0,68.0,69.0,80.0,83.0,88.0,94.0,114.0,101.0,2099.0,6.1,112
109,banks,__ba_nks__,__b@nks___,24293.0,4.0,15.0,22.0,26.0,30.0,35.0,38.0,41.0,40.0,44.0,51.0,63.0,91.0,1192.0,4.198262682418339,113
110,bans,__ba_ns___,__b@nz____,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.198262682418339,114
111,bar,__ba_r____,__bar_____,2199.0,39.0,28.0,34.0,38.0,43.0,23.0,24.0,24.0,26.0,25.0,31.0,32.0,21.0,687.0,6.1,115
112,barb,__ba_rb___,__barb____,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.3,116
113,barbs,__ba_rbs__,__barbz___,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.198262682418339,117
114,bard,__ba_rd___,__bard____,68.0,0.0,0.0,2.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,76.0,4.198262682418339,118
115,bards,__ba_rds__,__bardz___,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.198262682418339,119
116,bare,__ba_re___,__bEr_____,261.0,13.0,26.0,37.0,44.0,47.0,49.0,48.0,48.0,44.0,39.0,31.0,27.0,9.0,701.0,3.9,120
117,barge,__ba_rge__,__barJ____,170.0,5.0,6.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,70.0,5.7,121
118,bark,__ba_rk___,__bark____,61.0,58.0,47.0,45.0,37.0,39.0,41.0,39.0,35.0,33.0,29.0,27.0,22.0,9.0,711.0,5.0,122
119,barked,__ba_rked_,__barkt___,9.0,16.0,23.0,15.0,12.0,10.0,6.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,189.0,4.198262682418339,123
120,barks,__ba_rks__,__barks___,19.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,44.0,4.198262682418339,124
121,barn,__ba_rn___,__barn____,161.0,50.0,81.0,79.0,72.0,54.0,43.0,40.0,33.0,27.0,19.0,16.0,9.0,1.0,853.0,6.9,126
122,barns,__ba_rns__,__barnz___,31.0,0.0,2.0,5.0,5.0,5.0,8.0,7.0,8.0,8.0,8.0,7.0,5.0,1.0,122.0,4.198262682418339,127
123,bars,__ba_rs___,__barz____,767.0,13.0,15.0,19.0,19.0,20.0,25.0,24.0,22.0,19.0,17.0,20.0,19.0,10.0,407.0,4.198262682418339,128
124,base,__ba_se___,__bes_____,6018.0,20.0,26.0,31.0,33.0,40.0,49.0,54.0,62.0,68.0,70.0,79.0,85.0,96.0,1293.0,4.4,129
125,based,__ba_sed__,__best____,53865.0,1.0,0.0,3.0,10.0,31.0,38.0,47.0,56.0,67.0,91.0,98.0,131.0,250.0,1664.0,4.198262682418339,130
126,bash,__ba_sh___,__b@S_____,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.2,131
127,bask,__ba_sk___,__b@sk____,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.6,132
128,basked,__ba_sked_,__b@skt___,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198262682418339,133
129,basks,__ba_sks__,__b@sks___,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.198262682418339,134
130,bast,__ba_st___,__b@st____,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.198262682418339,137
131,baste,__ba_ste__,__best____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.5,138
132,bastes,__ba_stes_,__bests___,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.198262682418339,139
133,bat,__ba_t____,__b@t_____,1468.0,51.0,32.0,22.0,20.0,22.0,19.0,17.0,13.0,12.0,7.0,4.0,3.0,2.0,352.0,6.2,140
134,batch,__ba_tch__,__b@tC____,182.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,101.0,3.8,141
135,bate,__ba_te___,__bet_____,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.198262682418339,142
136,bath,__ba_th___,__b@T_____,272.0,26.0,31.0,24.0,18.0,15.0,15.0,15.0,16.0,13.0,12.0,12.0,12.0,8.0,340.0,6.0,143
137,bathe,__ba_the__,__beD_____,17.0,0.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,66.0,4.5,144
138,bathed,__ba_thed_,__beDd____,34.0,0.0,0.0,3.0,4.0,5.0,6.0,7.0,8.0,8.0,7.0,6.0,4.0,0.0,109.0,4.198262682418339,145
139,bathes,__ba_thes_,__beDz____,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.198262682418339,146
140,baths,__ba_ths__,__b@Dz____,47.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,6.0,3.0,103.0,4.198262682418339,147
141,bats,__ba_ts___,__b@ts____,79.0,20.0,7.0,7.0,7.0,12.0,14.0,17.0,14.0,14.0,11.0,8.0,4.0,1.0,242.0,4.198262682418339,148
142,bawl,__bawl____,__bal_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.6,149
143,bawled,__bawled__,__bald____,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,4.198262682418339,150
144,bawls,__bawls___,__balz____,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.198262682418339,151
145,bay,__bay_____,__be______,1452.0,5.0,26.0,30.0,36.0,51.0,54.0,49.0,45.0,48.0,47.0,43.0,38.0,16.0,910.0,5.2,152
146,bays,__bays____,__bez_____,66.0,0.0,0.0,0.0,1.0,5.0,7.0,7.0,8.0,7.0,5.0,3.0,2.0,1.0,98.0,4.198262682418339,153
147,be,__be______,__bi______,203275.0,3366.0,3618.0,4161.0,4229.0,4474.0,4604.0,4753.0,4898.0,5068.0,5500.0,5719.0,6176.0,6741.0,93088.0,1.3,154
148,beach,__beach___,__biC_____,1691.0,82.0,81.0,83.0,93.0,87.0,72.0,61.0,51.0,46.0,37.0,35.0,29.0,7.0,1194.0,6.5,155
149,bead,__bead____,__bid_____,12.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,54.0,6.0,156
150,beads,__beads___,__bidz____,77.0,1.0,7.0,11.0,10.0,12.0,15.0,15.0,13.0,13.0,12.0,11.0,8.0,4.0,234.0,4.198262682418339,157
151,beak,__beak____,__bik_____,10.0,6.0,7.0,9.0,10.0,11.0,10.0,9.0,8.0,7.0,5.0,4.0,3.0,1.0,180.0,5.2,158
152,beaks,__beaks___,__biks____,3.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,4.198262682418339,159
153,beam,__beam____,__bim_____,267.0,8.0,8.0,11.0,14.0,15.0,17.0,17.0,22.0,24.0,29.0,29.0,36.0,21.0,537.0,4.6,160
154,beams,__beams___,__bimz____,142.0,3.0,6.0,8.0,9.0,12.0,11.0,12.0,11.0,12.0,14.0,14.0,14.0,6.0,259.0,4.198262682418339,161
155,bean,__bean____,__bin_____,200.0,21.0,24.0,17.0,15.0,8.0,7.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,231.0,6.6,162
156,beans,__beans___,__binz____,301.0,44.0,57.0,46.0,42.0,34.0,25.0,28.0,27.0,25.0,23.0,24.0,20.0,6.0,635.0,4.198262682418339,163
157,bear,__bear____,__bEr_____,3520.0,902.0,320.0,165.0,134.0,98.0,88.0,85.0,81.0,73.0,69.0,63.0,57.0,30.0,2641.0,6.7,164
158,beard,__beard___,__bird____,210.0,4.0,13.0,17.0,19.0,20.0,16.0,14.0,13.0,11.0,9.0,9.0,8.0,1.0,327.0,6.3,165
