,word,ort,pho,wf,frequency,pho_consistency,imageability,img
57,front,_fro_nt___,_fr^nt____,4345,HF,INC,LI,4.4
58,frost,_fro_st___,_frast____,270,LF,INC,HI,5.8
59,gain,__gain____,__gen_____,10335,HF,CON,LI,2.8
60,gang,__ga_ng___,__g@ng____,392,LF,CON,HI,5.5
61,gasp,__ga_sp___,__g@sp____,41,LF,INC,LI,4.1
62,girl,__gi_rl___,__g^rl____,765,HF,CON,HI,6.3
63,glass,_gla_ss___,_gl@s_____,2297,HF,CON,HI,6.5
64,green,_green____,_grin_____,2189,HF,INC,HI,6.2
65,grief,_grief____,_grif_____,83,LF,CON,LI,3.5
66,group,_group____,_grup_____,49355,HF,INC,LI,5.2
67,gun,__gu_n____,__g^n_____,983,HF,CON,HI,6.6
68,halt,__ha_lt___,__halt____,1412,LF,CON,LI,3.5
69,harm,__ha_rm___,__harm____,707,LF,INC,LI,3.3
70,harp,__ha_rp___,__harp____,100,LF,INC,HI,5.5
71,haste,__ha_ste__,__hest____,84,LF,INC,LI,2.9
72,head,__head____,__hEd_____,8865,HF,INC,HI,6.8
73,health,__health__,__hElT____,12578,HF,CON,LI,3.9
74,height,__height__,__hAt_____,294,LF,INC,LI,4.0
75,hold,__ho_ld___,__hold____,7425,HF,CON,LI,4.0
76,home,__ho_me___,__hom_____,18432,HF,INC,HI,5.7
77,hope,__ho_pe___,__hop_____,4917,HF,CON,LI,3.0
78,house,__house___,__hWs_____,22988,HF,INC,HI,6.206493506493506
79,join,__join____,__JOn_____,2402,HF,CON,LI,3.0
80,judge,__ju_dge__,__J^J_____,12372,HF,CON,HI,6.0
81,key,__key_____,__ki______,4702,HF,INC,HI,6.4
82,large,__la_rge__,__larJ____,15747,HF,CON,LI,4.1
83,lawn,__lawn____,__lan_____,515,LF,CON,HI,6.3
84,leaf,__leaf____,__lif_____,248,LF,INC,HI,6.8
85,lease,__lease___,__lis_____,1585,LF,INC,LI,3.3
86,lend,__le_nd___,__lEnd____,1167,LF,CON,LI,3.2
87,less,__le_ss___,__lEs_____,20657,HF,CON,LI,2.7
88,life,__li_fe___,__lAf_____,13046,HF,CON,LI,3.9
89,lift,__li_ft___,__lIft____,964,LF,CON,LI,4.0
90,light,__li_ght__,__lAt_____,5933,HF,CON,HI,5.3
91,lose,__lo_se___,__luz_____,3089,HF,INC,LI,3.0
92,loud,__loud____,__lWd_____,307,LF,CON,LI,3.5
93,math,__ma_th___,__m@T_____,188,LF,INC,LI,4.2
94,moth,__mo_th___,__maT_____,13,LF,INC,HI,6.0
95,mouth,__mouth___,__mWT_____,566,HF,CON,HI,6.206493506493506
96,move,__mo_ve___,__muv_____,15270,HF,INC,LI,3.2
97,name,__na_me___,__nem_____,8468,HF,CON,LI,4.2
98,neck,__ne_ck___,__nEk_____,481,HF,CON,HI,6.5
99,nest,__ne_st___,__nEst____,149,LF,CON,HI,6.2
100,note,__no_te___,__not_____,4068,HF,CON,HI,5.5
101,paid,__paid____,__ped_____,11077,HF,INC,LI,3.6126582278481
102,pet,__pe_t____,__pEt_____,505,LF,CON,HI,6.4
103,phrase,phra_se___,_frez_____,430,LF,INC,LI,3.0
104,pint,__pi_nt___,__pAnt____,49,LF,INC,LI,5.2
105,pipe,__pi_pe___,__pAp_____,638,LF,CON,HI,6.3
106,plan,_pla_n____,_pl@n_____,27353,HF,INC,LI,2.8
107,plant,_pla_nt___,_pl@nt____,13641,HF,INC,HI,6.3
108,pledge,_ple_dge__,_plEJ_____,848,LF,CON,LI,3.7
109,pond,__po_nd___,__pand____,116,LF,CON,HI,6.5
110,pure,__pu_re___,__pYr_____,600,HF,CON,LI,3.7
111,push,__pu_sh___,__pUS_____,3251,LF,INC,LI,4.1
112,range,__ra_nge__,__renJ____,7978,HF,INC,LI,3.5
113,rise,__ri_se___,__rAz_____,13028,HF,INC,LI,3.3
114,roof,__roof____,__ruf_____,415,HF,INC,HI,6.4
115,rough,__rough___,__r^f_____,698,LF,INC,LI,3.2
116,rude,__ru_de___,__rud_____,145,LF,CON,LI,3.0
117,safe,__sa_fe___,__sef_____,1757,HF,INC,LI,4.1
118,scarce,_sca_rce__,_skErs____,369,LF,INC,LI,3.0
119,shark,_sha_rk___,__Sark____,109,LF,CON,HI,6.8
120,shield,_shield___,__Sild____,1118,LF,CON,HI,5.8
121,shop,_sho_p____,__Sap_____,1754,HF,CON,HI,5.5
122,shot,_sho_t____,__Sat_____,2208,HF,INC,HI,4.9
123,shout,_shout____,__SWt_____,112,LF,CON,LI,3.8
124,silk,__si_lk___,__sIlk____,178,LF,CON,HI,5.9
125,smart,_sma_rt___,_smart____,733,LF,INC,LI,3.1
126,snap,_sna_p____,_sn@p_____,282,LF,INC,LI,4.1
127,sound,__sound___,__sWnd____,2531,HF,CON,LI,3.5
128,sour,__sour____,__sWr_____,365,LF,INC,LI,3.6
129,spice,_spi_ce___,_spAs_____,77,LF,CON,HI,5.4
130,spoon,_spoon____,_spun_____,59,LF,CON,HI,6.3
131,stale,_sta_le___,_stel_____,64,LF,CON,LI,3.3
132,street,street____,strit_____,12658,HF,CON,HI,6.3
133,swamp,_swa_mp___,_swamp____,106,LF,INC,HI,6.0
134,sweat,_sweat____,_swEt_____,212,LF,INC,HI,5.8
135,sword,_swo_rd___,__sord____,136,LF,INC,HI,6.8
136,task,__ta_sk___,__t@sk____,2701,HF,CON,LI,3.2
137,text,__te_xt___,__tEkst___,555,HF,CON,LI,5.1
138,theft,_the_ft___,__TEft____,456,LF,CON,LI,3.4
139,toast,__toast___,__tost____,73,LF,CON,HI,6.5
140,toll,__to_ll___,__tol_____,743,LF,INC,LI,3.9
141,tomb,__to_mb___,__tum_____,85,LF,INC,HI,6.4
142,trade,_tra_de___,_tred_____,31728,HF,INC,LI,3.0
143,trick,_tri_ck___,_trIk_____,265,LF,CON,LI,3.9
144,trim,_tri_m____,_trIm_____,903,LF,CON,LI,4.0
145,trust,_tru_st___,_tr^st____,9260,HF,CON,LI,2.9
146,verb,__ve_rb___,__v^rb____,14,LF,CON,LI,3.0
147,war,__wa_r____,__wor_____,9400,HF,INC,HI,5.4
148,warm,__wa_rm___,__worm____,637,HF,INC,LI,3.5
149,warn,__wa_rn___,__worn____,717,LF,INC,LI,3.0
150,wash,__wa_sh___,__waS_____,1009,LF,INC,HI,5.1
151,watch,__wa_tch__,__watC____,1793,HF,INC,HI,5.9
152,weed,__weed____,__wid_____,126,LF,CON,HI,6.5
153,white,_whi_te___,__wAt_____,13667,HF,CON,HI,6.5
154,wind,__wi_nd___,__wInd____,1054,HF,INC,HI,4.7
155,wool,__wool____,__wUl_____,153,LF,INC,HI,5.8
156,worm,__wo_rm___,__w^rm____,100,LF,INC,HI,6.6
157,worth,__wo_rth__,__w^rT____,5251,HF,INC,LI,2.3
158,wrong,_wro_ng___,__rang____,3195,HF,CON,LI,2.4
159,zone,__zo_ne___,__zon_____,721,LF,INC,LI,4.1
