,word,ort,pho_large,pho_small,condition,img,wf
87,pont,__po_nt___,__pont____,__pant____,unambiguous,0,0
88,ront,__ro_nt___,__ront____,__rant____,unambiguous,0,0
89,sont,__so_nt___,__sont____,__sant____,unambiguous,0,0
90,brold,_bro_ld___,_brold____,_brald____,ambiguous,0,0
91,chold,_cho_ld___,__Cold____,__Cald____,ambiguous,0,0
92,crold,_cro_ld___,_krold____,_krald____,ambiguous,0,0
93,jold,__jo_ld___,__Jold____,__Jald____,ambiguous,0,0
94,prold,_pro_ld___,_prold____,_prald____,ambiguous,0,0
95,golt,__go_lt___,__golt____,__galt____,ambiguous,0,0
96,nolt,__no_lt___,__nolt____,__nalt____,ambiguous,0,0
97,polt,__po_lt___,__polt____,__palt____,ambiguous,0,0
98,rolt,__ro_lt___,__rolt____,__ralt____,ambiguous,0,0
99,solt,__so_lt___,__solt____,__salt____,ambiguous,0,0
100,cloom,_cloom____,_klUm_____,_klum_____,unambiguous,0,0
101,poom,__poom____,__pUm_____,__pum_____,unambiguous,0,0
102,proom,_proom____,_prUm_____,_prum_____,unambiguous,0,0
103,sloom,_sloom____,_slUm_____,_slum_____,unambiguous,0,0
104,bloon,_bloon____,_blUn_____,_blun_____,unambiguous,0,0
105,droon,_droon____,_drUn_____,_drun_____,unambiguous,0,0
106,gloon,_gloon____,_glUn_____,_glun_____,unambiguous,0,0
107,groon,_groon____,_grUn_____,_grun_____,unambiguous,0,0
108,ploon,_ploon____,_plUn_____,_plun_____,unambiguous,0,0
109,troon,_troon____,_trUn_____,_trun_____,unambiguous,0,0
110,blook,_blook____,_blUk_____,_bluk_____,ambiguous,0,0
111,clook,_clook____,_klUk_____,_kluk_____,ambiguous,0,0
112,drook,_drook____,_drUk_____,_druk_____,ambiguous,0,0
113,glook,_glook____,_glUk_____,_gluk_____,ambiguous,0,0
114,grook,_grook____,_grUk_____,_gruk_____,ambiguous,0,0
115,pook,__pook____,__pUk_____,__puk_____,ambiguous,0,0
116,plook,_plook____,_plUk_____,_pluk_____,ambiguous,0,0
117,prook,_prook____,_prUk_____,_pruk_____,ambiguous,0,0
118,slook,_slook____,_slUk_____,_sluk_____,ambiguous,0,0
119,trook,_trook____,_trUk_____,_truk_____,ambiguous,0,0
