"Word","List","Case","Type","Response","Response_Type","Response.Noam","phoneme1","phoneme2","phoneme3","phoneme4","phoneme5","phoneme6","response_clean_old","response_clean_new"
"dant","Tr03","VC2","C","d_d_  a_a_  n_n_ t_t_","GP_RESPONSE","d_d_  a_a_  n_n_ t_t_","d","a","n","t","","","dant","dant"
"frant","Tr03","VC2","C","f_f_ r_r_  a_a_  n_n_ t_t_","GP_RESPONSE","f_f_ r_r_  a_a_  n_n_ t_t_","f","r","a","n","t","","frant","frant"
"nant","Tr03","VC2","C","n_n_  a_a_  n_n_ t_t_","GP_RESPONSE","n_n_  a_a_  n_n_ t_t_","n","a","n","t","","","nant","nant"
"prant","Tr03","VC2","C","p_p_ r_r_  a_a_  n_n_ t_t_","GP_RESPONSE","p_p_ r_r_  a_a_  n_n_ t_t_","p","r","a","n","t","","prant","prant"
"tant","Tr03","VC2","C","t_t_  a_a_  n_n_ t_t_","GP_RESPONSE","t_t_  a_a_  n_n_ t_t_","t","a","n","t","","","tant","tant"
"dald","Tr03","VC2","E","d_d_  a_a_   l_5_ d_d_","GP_RESPONSE","d_d_  a_a_   l_5_ d_d_","d","a","5","d","","","da5d","da5d"
"frald","Tr03","VC2","E","f_f_ r_r_  a_a_   l_5_ d_d_","GP_RESPONSE","f_f_ r_r_  a_a_   l_5_ d_d_","f","r","a","5","d","","fra5d","fra5d"
"nald","Tr03","VC2","E","n_n_  a_a_   l_5_ d_d_","GP_RESPONSE","n_n_  a_a_   l_5_ d_d_","n","a","5","d","","","na5d","na5d"
"shald","Tr03","VC2","E","sh_S_   a_a_   l_5_ d_d_","GP_RESPONSE","sh_S_   a_a_   l_5_ d_d_","S","a","5","d","","","Sa5d","Sa5d"
"tald","Tr03","VC2","E","t_t_  a_a_   l_5_ d_d_","GP_RESPONSE","t_t_  a_a_   l_5_ d_d_","t","a","5","d","","","ta5d","ta5d"
"yald","Tr03","VC2","E","y_j_  a_a_   l_5_ d_d_","GP_RESPONSE","y_j_  a_a_   l_5_ d_d_","j","a","5","d","","","ja5d","ja5d"
"fralt","Tr03","VC2","E","f_f_ r_r_  a_a_   l_5_ t_t_","GP_RESPONSE","f_f_ r_r_  a_a_   l_5_ t_t_","f","r","a","5","t","","fra5t","fra5t"
"nalt","Tr03","VC2","E","n_n_  a_a_   l_5_ t_t_","GP_RESPONSE","n_n_  a_a_   l_5_ t_t_","n","a","5","t","","","na5t","na5t"
"pralt","Tr03","VC2","E","p_p_ r_r_  a_a_   l_5_ t_t_","GP_RESPONSE","p_p_ r_r_  a_a_   l_5_ t_t_","p","r","a","5","t","","pra5t","pra5t"
"talt","Tr03","VC2","E","t_t_  a_a_   l_5_ t_t_","GP_RESPONSE","t_t_  a_a_   l_5_ t_t_","t","a","5","t","","","ta5t","ta5t"
"spleab","Tr03","VC3","C","s_s_ p_p_ l_l_  ea_i_ b_b_","GP_RESPONSE","s_s_ p_p_ l_l_  ea_i_ b_b_","s","p","l","i","b","","splib","splib"
"yeab","Tr03","VC3","C","y_j_  ea_i_ b_b_","GP_RESPONSE","y_j_  ea_i_ b_b_","j","i","b","","","","jib","jib"
"cheal","Tr03","VC3","C","ch_tS_  ea_i_  l_5_","GP_RESPONSE","ch_tS_  ea_i_  l_5_","tS","i","5","","","","tSi5","Qi5"
"preal","Tr03","VC3","C","p_p_ r_r_  ea_i_  l_5_","GP_RESPONSE","p_p_ r_r_  ea_i_  l_5_","p","r","i","5","","","pri5","pri5"
"streal","Tr03","VC3","C","s_s_ t_t_ r_r_  ea_i_  l_5_","GP_RESPONSE","s_s_ t_t_ r_r_  ea_i_  l_5_","s","t","r","i","5","","stri5","stri5"
"cleam","Tr03","VC3","C","c_k_ l_l_  ea_i_  m_m_","GP_RESPONSE","c_k_ l_l_  ea_i_  m_m_","k","l","i","m","","","klim","klim"
"queam","Tr03","VC3","C","qu_kw_  ea_i_  m_m_","GP_RESPONSE","qu_kw_  ea_i_  m_m_","kw","i","m","","","","kwim","kwim"
"squean","Tr03","VC3","C","s_s_ qu_kw_  ea_i_ n_n_","GP_RESPONSE","s_s_ qu_kw_  ea_i_ n_n_","s","kw","i","n","","","skwin","skwin"
"swean","Tr03","VC3","C","s_s_ w_w_  ea_i_ n_n_","GP_RESPONSE","s_s_ w_w_  ea_i_ n_n_","s","w","i","n","","","swin","swin"
"gleap","Tr03","VC3","C","g_g_ l_l_  ea_i_ p_p_","GP_RESPONSE","g_g_ l_l_  ea_i_ p_p_","g","l","i","p","","","glip","glip"
"chead","Tr03","VC3","E","ch_tS_  ea_i_ d_d_","GP_RESPONSE","ch_tS_  ea_i_ d_d_","tS","i","d","","","","tSid","Qid"
"clead","Tr03","VC3","E","c_k_ l_l_  ea_i_ d_d_","GP_RESPONSE","c_k_ l_l_  ea_i_ d_d_","k","l","i","d","","","klid","klid"
"glead","Tr03","VC3","E","g_g_ l_l_  ea_i_ d_d_","GP_RESPONSE","g_g_ l_l_  ea_i_ d_d_","g","l","i","d","","","glid","glid"
"pread","Tr03","VC3","E","p_p_ r_r_  ea_i_ d_d_","GP_RESPONSE","p_p_ r_r_  ea_i_ d_d_","p","r","i","d","","","prid","prid"
"quead","Tr03","VC3","E","qu_kw_  ea_i_ d_d_","GP_RESPONSE","qu_kw_  ea_i_ d_d_","kw","i","d","","","","kwid","kwid"
"splead","Tr03","VC3","E","s_s_ p_p_ l_l_  ea_i_ d_d_","GP_RESPONSE","s_s_ p_p_ l_l_  ea_i_ d_d_","s","p","l","i","d","","splid","splid"
"squead","Tr03","VC3","E","s_s_ qu_kw_  ea_i_ d_d_","GP_RESPONSE","s_s_ qu_kw_  ea_i_ d_d_","s","kw","i","d","","","skwid","skwid"
"stread","Tr03","VC3","E","s_s_ t_t_ r_r_  ea_i_ d_d_","GP_RESPONSE","s_s_ t_t_ r_r_  ea_i_ d_d_","s","t","r","i","d","","strid","strid"
"swead","Tr03","VC3","E","s_s_ w_w_  ea_i_ d_d_","GP_RESPONSE","s_s_ w_w_  ea_i_ d_d_","s","w","i","d","","","swid","swid"
"yead","Tr03","VC3","E","y_j_  ea_i_ d_d_","GP_RESPONSE","y_j_  ea_i_ d_d_","j","i","d","","","","jid","jid"
"brilt","Tr03","VC4","C","b_b_ r_r_  i_I_  l_5_ t_t_","GP_RESPONSE","b_b_ r_r_  i_I_  l_5_ t_t_","b","r","I","5","t","","brI5t","brI5t"
"snilt","Tr03","VC4","C","s_s_ n_n_  i_I_  l_5_ t_t_","GP_RESPONSE","s_s_ n_n_  i_I_  l_5_ t_t_","s","n","I","5","t","","snI5t","snI5t"
"swilt","Tr03","VC4","C","s_s_ w_w_  i_I_  l_5_ t_t_","GP_RESPONSE","s_s_ w_w_  i_I_  l_5_ t_t_","s","w","I","5","t","","swI5t","swI5t"
"ilt","Tr03","VC4","C","  i_I_  l_5_ t_t_","GP_RESPONSE","  i_I_  l_5_ t_t_","I","5","t","","","","I5t","I5t"
"chint","Tr03","VC4","C","ch_tS_  i_I_ n_n_ t_t_","GP_RESPONSE","ch_tS_  i_I_ n_n_ t_t_","tS","I","n","t","","","tSInt","QInt"
"crint","Tr03","VC4","C","c_k_ r_r_  i_I_ n_n_ t_t_","GP_RESPONSE","c_k_ r_r_  i_I_ n_n_ t_t_","k","r","I","n","t","","krInt","krInt"
"drint","Tr03","VC4","C","d_d_ r_r_  i_I_ n_n_ t_t_","GP_RESPONSE","d_d_ r_r_  i_I_ n_n_ t_t_","d","r","I","n","t","","drInt","drInt"
"shrint","Tr03","VC4","C","sh_S_ r_r_  i_I_ n_n_ t_t_","GP_RESPONSE","sh_S_ r_r_  i_I_ n_n_ t_t_","S","r","I","n","t","","SrInt","SrInt"
"slint","Tr03","VC4","C","s_s_ l_l_  i_I_ n_n_ t_t_","GP_RESPONSE","s_s_ l_l_  i_I_ n_n_ t_t_","s","l","I","n","t","","slInt","slInt"
"smint","Tr03","VC4","C","s_s_ m_m_  i_I_ n_n_ t_t_","GP_RESPONSE","s_s_ m_m_  i_I_ n_n_ t_t_","s","m","I","n","t","","smInt","smInt"
"brild","Tr03","VC4","E","b_b_ r_r_  i_I_ l_5_ d_d_","GP_RESPONSE","b_b_ r_r_  i_I_ l_5_ d_d_","b","r","I","5","d","","brI5d","brI5d"
"snild","Tr03","VC4","E","s_s_ n_n_  i_I_ l_5_ d_d_","GP_RESPONSE","s_s_ n_n_  i_I_ l_5_ d_d_","s","n","I","5","d","","snI5d","snI5d"
"swild","Tr03","VC4","E","s_s_ w_w_  i_I_ l_5_ d_d_","GP_RESPONSE","s_s_ w_w_  i_I_ l_5_ d_d_","s","w","I","5","d","","swI5d","swI5d"
"ild","Tr03","VC4","E","  i_I_ l_5_ d_d_","GP_RESPONSE","  i_I_ l_5_ d_d_","I","5","d","","","","I5d","I5d"
"chind","Tr03","VC4","E","ch_tS_  i_I_  n_n_ d_d_","GP_RESPONSE","ch_tS_  i_I_  n_n_ d_d_","tS","I","n","d","","","tSInd","QInd"
"crind","Tr03","VC4","E","c_k_ r_r_  i_I_  n_n_ d_d_","GP_RESPONSE","c_k_ r_r_  i_I_  n_n_ d_d_","k","r","I","n","d","","krInd","krInd"
"drind","Tr03","VC4","E","d_d_ r_r_  i_I_  n_n_ d_d_","GP_RESPONSE","d_d_ r_r_  i_I_  n_n_ d_d_","d","r","I","n","d","","drInd","drInd"
"shrind","Tr03","VC4","E","sh_S_ r_r_  i_I_  n_n_ d_d_","GP_RESPONSE","sh_S_ r_r_  i_I_  n_n_ d_d_","S","r","I","n","d","","SrInd","SrInd"
"slind","Tr03","VC4","E","s_s_ l_l_  i_I_  n_n_ d_d_","GP_RESPONSE","s_s_ l_l_  i_I_  n_n_ d_d_","s","l","I","n","d","","slInd","slInd"
"smind","Tr03","VC4","E","s_s_ m_m_  i_I_  n_n_ d_d_","GP_RESPONSE","s_s_ m_m_  i_I_  n_n_ d_d_","s","m","I","n","d","","smInd","smInd"
"brond","Tr03","VC5","C","b_b_ r_r_ o_A_  n_n_ d_d_","GP_RESPONSE","b_b_ r_r_ o_A_  n_n_ d_d_","b","r","A","n","d","","brAnd","brAnd"
"chond","Tr03","VC5","C","ch_tS_ o_A_  n_n_ d_d_","GP_RESPONSE","ch_tS_ o_A_  n_n_ d_d_","tS","A","n","d","","","tSAnd","QAnd"
"crond","Tr03","VC5","C","c_k_ r_r_ o_A_  n_n_ d_d_","GP_RESPONSE","c_k_ r_r_ o_A_  n_n_ d_d_","k","r","A","n","d","","krAnd","krAnd"
"jond","Tr03","VC5","C","j_dZ_ o_A_  n_n_ d_d_","GP_RESPONSE","j_dZ_ o_A_  n_n_ d_d_","dZ","A","n","d","","","dZAnd","JAnd"
"prond","Tr03","VC5","C","p_p_ r_r_ o_A_  n_n_ d_d_","GP_RESPONSE","p_p_ r_r_ o_A_  n_n_ d_d_","p","r","A","n","d","","prAnd","prAnd"
"gont","Tr03","VC5","C","g_g_ o_A_ n_n_ t_t_","GP_RESPONSE","g_g_ o_A_ n_n_ t_t_","g","A","n","t","","","gAnt","gAnt"
"nont","Tr03","VC5","C","n_n_ o_A_ n_n_ t_t_","GP_RESPONSE","n_n_ o_A_ n_n_ t_t_","n","A","n","t","","","nAnt","nAnt"
"pont","Tr03","VC5","C","p_p_ r_r_ o_A_ n_n_ t_t_","GP_RESPONSE","p_p_ r_r_ o_A_ n_n_ t_t_","p","r","A","n","t","","prAnt","prAnt"
"ront","Tr03","VC5","C","r_r_ o_A_ n_n_ t_t_","GP_RESPONSE","r_r_ o_A_ n_n_ t_t_","r","A","n","t","","","rAnt","rAnt"
"sont","Tr03","VC5","C","s_s_ o_A_ n_n_ t_t_","GP_RESPONSE","s_s_ o_A_ n_n_ t_t_","s","A","n","t","","","sAnt","sAnt"
"brold","Tr03","VC5","E","b_b_ r_r_ o_A_  l_5_ d_d_","GP_RESPONSE","b_b_ r_r_ o_A_  l_5_ d_d_","b","r","A","5","d","","brA5d","brA5d"
"chold","Tr03","VC5","E","ch_tS_ o_A_  l_5_ d_d_","GP_RESPONSE","ch_tS_ o_A_  l_5_ d_d_","tS","A","5","d","","","tSA5d","QA5d"
"crold","Tr03","VC5","E","c_k_ r_r_ o_A_  l_5_ d_d_","GP_RESPONSE","c_k_ r_r_ o_A_  l_5_ d_d_","k","r","A","5","d","","krA5d","krA5d"
"jold","Tr03","VC5","E","j_dZ_ o_A_  l_5_ d_d_","GP_RESPONSE","j_dZ_ o_A_  l_5_ d_d_","dZ","A","5","d","","","dZA5d","JA5d"
"prold","Tr03","VC5","E","p_p_ r_r_ o_A_  l_5_ d_d_","GP_RESPONSE","p_p_ r_r_ o_A_  l_5_ d_d_","p","r","A","5","d","","prA5d","prA5d"
"golt","Tr03","VC5","E","g_g_ o_A_  l_5_ t_t_","GP_RESPONSE","g_g_ o_A_  l_5_ t_t_","g","A","5","t","","","gA5t","gA5t"
"nolt","Tr03","VC5","E","n_n_ o_A_  l_5_ t_t_","GP_RESPONSE","n_n_ o_A_  l_5_ t_t_","n","A","5","t","","","nA5t","nA5t"
"polt","Tr03","VC5","E","p_p_ r_r_ o_A_  l_5_ t_t_","GP_RESPONSE","p_p_ r_r_ o_A_  l_5_ t_t_","p","r","A","5","t","","prA5t","prA5t"
"rolt","Tr03","VC5","E","r_r_ o_A_  l_5_ t_t_","GP_RESPONSE","r_r_ o_A_  l_5_ t_t_","r","A","5","t","","","rA5t","rA5t"
"solt","Tr03","VC5","E","s_s_ o_A_  l_5_ t_t_","GP_RESPONSE","s_s_ o_A_  l_5_ t_t_","s","A","5","t","","","sA5t","sA5t"
"cloom","Tr03","VC6","C","c_k_ l_l_ oo_u_ m_m_","GP_RESPONSE","c_k_ l_l_ oo_u_ m_m_","k","l","u","m","","","klum","klum"
"poom","Tr03","VC6","C","p_p_ oo_u_ m_m_","GP_RESPONSE","p_p_ oo_u_ m_m_","p","u","m","","","","pum","pum"
"proom","Tr03","VC6","C","p_p_ r_r_ oo_u_ m_m_","GP_RESPONSE","p_p_ r_r_ oo_u_ m_m_","p","r","u","m","","","prum","prum"
"sloom","Tr03","VC6","C","s_s_ l_l_ oo_u_ m_m_","GP_RESPONSE","s_s_ l_l_ oo_u_ m_m_","s","l","u","m","","","slum","slum"
"bloon","Tr03","VC6","C","b_b_ l_l_ oo_u_ n_n_","GP_RESPONSE","b_b_ l_l_ oo_u_ n_n_","b","l","u","n","","","blun","blun"
"droon","Tr03","VC6","C","d_d_ r_r_ oo_u_ n_n_","GP_RESPONSE","d_d_ r_r_ oo_u_ n_n_","d","r","u","n","","","drun","drun"
"gloon","Tr03","VC6","C","g_g_ l_l_ oo_u_ n_n_","GP_RESPONSE","g_g_ l_l_ oo_u_ n_n_","g","l","u","n","","","glun","glun"
"groon","Tr03","VC6","C","g_g_ r_r_ oo_u_ n_n_","GP_RESPONSE","g_g_ r_r_ oo_u_ n_n_","g","r","u","n","","","grun","grun"
"ploon","Tr03","VC6","C","p_p_ l_l_ oo_u_ n_n_","GP_RESPONSE","p_p_ l_l_ oo_u_ n_n_","p","l","u","n","","","plun","plun"
"troon","Tr03","VC6","C","t_t_ r_r_  oo_u_ n_n_","GP_RESPONSE","t_t_ r_r_  oo_u_ n_n_","t","r","u","n","","","trun","trun"
"blook","Tr03","VC6","E","b_b_ l_l_ oo_u_ k_k_","GP_RESPONSE","b_b_ l_l_ oo_u_ k_k_","b","l","u","k","","","bluk","bluk"
"clook","Tr03","VC6","E","c_k_ l_l_ oo_u_ k_k_","GP_RESPONSE","c_k_ l_l_ oo_u_ k_k_","k","l","u","k","","","kluk","kluk"
"drook","Tr03","VC6","E","d_d_ r_r_ oo_u_ k_k_","GP_RESPONSE","d_d_ r_r_ oo_u_ k_k_","d","r","u","k","","","druk","druk"
"glook","Tr03","VC6","E","g_g_ l_l_ oo_u_ k_k_","GP_RESPONSE","g_g_ l_l_ oo_u_ k_k_","g","l","u","k","","","gluk","gluk"
"grook","Tr03","VC6","E","g_g_ r_r_ oo_u_ k_k_","GP_RESPONSE","g_g_ r_r_ oo_u_ k_k_","g","r","u","k","","","gruk","gruk"
"pook","Tr03","VC6","E","p_p_ oo_u_ k_k_","GP_RESPONSE","p_p_ oo_u_ k_k_","p","u","k","","","","puk","puk"
"plook","Tr03","VC6","E","p_p_ l_l_ oo_u_ k_k_","GP_RESPONSE","p_p_ l_l_ oo_u_ k_k_","p","l","u","k","","","pluk","pluk"
"prook","Tr03","VC6","E","p_p_ r_r_ oo_u_ k_k_","GP_RESPONSE","p_p_ r_r_ oo_u_ k_k_","p","r","u","k","","","pruk","pruk"
"slook","Tr03","VC6","E","s_s_ l_l_ oo_u_ k_k_","GP_RESPONSE","s_s_ l_l_ oo_u_ k_k_","s","l","u","k","","","sluk","sluk"
"trook","Tr03","VC6","E","t_t_ r_r_ oo_u_ k_k_","GP_RESPONSE","t_t_ r_r_ oo_u_ k_k_","t","r","u","k","","","truk","truk"
"blance","Tr03","VC1","C","b_b_ l_l_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","b_b_ l_l_  a_e_ n_n_ c_s_ e_#_","b","l","e","n","s","","blens","blens"
"brance","Tr03","VC1","C","b_b_ r_r_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","b_b_ r_r_  a_e_ n_n_ c_s_ e_#_","b","r","e","n","s","","brens","brens"
"crance","Tr03","VC1","C","c_k_ r_r_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","c_k_ r_r_  a_e_ n_n_ c_s_ e_#_","k","r","e","n","s","","krens","krens"
"drance","Tr03","VC1","C","d_d_ r_r_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","d_d_ r_r_  a_e_ n_n_ c_s_ e_#_","d","r","e","n","s","","drens","drens"
"quance","Tr03","VC1","C","qu_kw_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","qu_kw_  a_e_ n_n_ c_s_ e_#_","kw","e","n","s","","","kwens","kwens"
"sance","Tr03","VC1","C","s_s_ a_a_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","s_s_ a_e_ n_n_ c_s_ e_#_","s","e","n","s","","","sens","sens"
"shance","Tr03","VC1","C","sh_S_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","sh_S_  a_e_ n_n_ c_s_ e_#_","S","e","n","s","","","Sens","Sens"
"slance","Tr03","VC1","C","s_s_ l_l_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","s_s_ l_l_  a_e_ n_n_ c_s_ e_#_","s","l","e","n","s","","slens","slens"
"snance","Tr03","VC1","C","s_s_ n_n_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","s_s_ n_n_  a_e_ n_n_ c_s_ e_#_","s","n","e","n","s","","snens","snens"
"spance","Tr03","VC1","C","s_s_ p_p_  a_e_ _ n_n_ c_s_ e_#_","ALT_RESPONSE","s_s_ p_p_  a_e_ n_n_ c_s_ e_#_","s","p","e","n","s","","spens","spens"
"blange","Tr03","VC1","E","b_b_ l_l_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","b_b_ l_l_  a_e_ n_n_ g_dZ_ e_#_","b","l","e","n","dZ","","blendZ","blenJ"
"brange","Tr03","VC1","E","b_b_ r_r_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","b_b_ r_r_  a_e_ n_n_ g_dZ_ e_#_","b","r","e","n","dZ","","brendZ","brenJ"
"crange","Tr03","VC1","E","c_k_ r_r_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","c_k_ r_r_  a_e_ n_n_ g_dZ_ e_#_","k","r","e","n","dZ","","krendZ","krenJ"
"drange","Tr03","VC1","E","d_d_ r_r_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","d_d_ r_r_  a_e_ n_n_ g_dZ_ e_#_","d","r","e","n","dZ","","drendZ","drenJ"
"quange","Tr03","VC1","E","qu_kw_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","qu_kw_  a_e_ n_n_ g_dZ_ e_#_","kw","e","n","dZ","","","kwendZ","kwenJ"
"sange","Tr03","VC1","E","s_s_ a_a_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","s_s_ a_e_ n_n_ g_dZ_ e_#_","s","e","n","dZ","","","sendZ","senJ"
"shange","Tr03","VC1","E","sh_S_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","sh_S_  a_e_ n_n_ g_dZ_ e_#_","S","e","n","dZ","","","SendZ","SenJ"
"slange","Tr03","VC1","E","s_s_ l_l_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","s_s_ l_l_  a_e_ n_n_ g_dZ_ e_#_","s","l","e","n","dZ","","slendZ","slenJ"
"snange","Tr03","VC1","E","s_s_ n_n_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","s_s_ n_n_  a_e_ n_n_ g_dZ_ e_#_","s","n","e","n","dZ","","snendZ","snenJ"
"spange","Tr03","VC1","E","s_s_ p_p_  a_e_ n_n_ g_dZ_ e_#_","ALT_RESPONSE","s_s_ p_p_  a_e_ n_n_ g_dZ_ e_#_","s","p","e","n","dZ","","spendZ","spenJ"
"frand","Tr03","VC2","C","f_f_ r_r_ a_O_ n_n_ d_d_","ALT_RESPONSE","f_f_ r_r_ a_O_ n_n_ d_d_","f","r","O","n","d","","frOnd","frOnd"
"nand","Tr03","VC2","C","n_n_ a_O_ n_n_ d_d_","ALT_RESPONSE","n_n_ a_O_ n_n_ d_d_","n","O","n","d","","","nOnd","nOnd"
"shand","Tr03","VC2","C","sh_S_  a_O_ n_n_ d_d_","ALT_RESPONSE","sh_S_  a_O_ n_n_ d_d_","S","O","n","d","","","SOnd","SOnd"
"tand","Tr03","VC2","C","t_t_ a_O_ n_n_ d_d_","ALT_RESPONSE","t_t_ a_O_ n_n_ d_d_","t","O","n","d","","","tOnd","tOnd"
"yand","Tr03","VC2","C","y_j_ a_O_ n_n_ d_d_","ALT_RESPONSE","y_j_ a_O_ n_n_ d_d_","j","O","n","d","","","jOnd","jOnd"
"dant","Tr03","VC2","C","d_d_ a_O_ n_n_ t_t_","ALT_RESPONSE","d_d_ a_O_ n_n_ t_t_","d","O","n","t","","","dOnt","dOnt"
"frant","Tr03","VC2","C","f_f_ r_r_ a_O_ n_n_ t_t_","ALT_RESPONSE","f_f_ r_r_ a_O_ n_n_ t_t_","f","r","O","n","t","","frOnt","frOnt"
